,HO_up,NAFLD_up,NASH_up,w16_up,w32_up,w48_up,w4_up,w8_up,HF12_up,HF18_up,STZ12_up,STZ18_up,MCD4_up,MCD8_up,Pten_up,HF30_up,WTD_up
HO_up,2,2,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
NAFLD_up,2,45,34,7,7,11,4,3,7,6,6,4,2,4,1,1,19
NASH_up,0,34,71,20,16,18,6,10,6,3,5,2,2,4,1,0,30
w16_up,0,7,20,42,25,27,11,15,1,2,1,2,0,1,0,1,16
w32_up,0,7,16,25,60,42,11,10,8,3,2,3,3,3,0,1,12
w48_up,0,11,18,27,42,78,17,20,11,5,4,4,3,3,0,4,15
w4_up,0,4,6,11,11,17,47,21,3,7,1,4,1,1,0,3,6
w8_up,0,3,10,15,10,20,21,44,1,6,1,4,0,0,0,4,8
HF12_up,0,7,6,1,8,11,3,1,31,4,9,4,8,6,0,0,5
HF18_up,1,6,3,2,3,5,7,6,4,22,5,13,2,3,1,5,8
STZ12_up,1,6,5,1,2,4,1,1,9,5,12,4,3,3,1,1,5
STZ18_up,1,4,2,2,3,4,4,4,4,13,4,14,2,3,1,3,5
MCD4_up,0,2,2,0,3,3,1,0,8,2,3,2,8,6,0,0,1
MCD8_up,1,4,4,1,3,3,1,0,6,3,3,3,6,11,2,1,3
Pten_up,1,1,1,0,0,0,0,0,0,1,1,1,0,2,2,1,1
HF30_up,1,1,0,1,1,4,3,4,0,5,1,3,0,1,1,17,4
WTD_up,1,19,30,16,12,15,6,8,5,8,5,5,1,3,1,4,45
